Note: Cost of energy is $1 for every 1500 MW used
Timestamp,Energy Consumption (MW),Estimated Energy Cost ($)
2024-06-12 18:10:42,2073.0,1.38
2024-06-12 18:10:47,2218.0,1.48
2024-06-12 18:10:52,2154.0,1.44
2024-06-12 18:10:57,2116.0,1.41
2024-06-12 18:11:02,2104.0,1.40
2024-06-12 18:11:07,2108.0,1.41
2024-06-12 18:11:12,2142.0,1.43
2024-06-12 18:11:17,2188.0,1.46
2024-06-12 18:11:22,2267.0,1.51
2024-06-12 18:11:27,2327.0,1.55
2024-06-12 18:11:32,2367.0,1.58
2024-06-12 18:11:37,2367.0,1.58
2024-06-12 18:11:42,2296.0,1.53
2024-06-12 18:11:47,2172.0,1.45
2024-06-12 18:11:52,2090.0,1.39
2024-06-12 18:11:57,2018.0,1.35
2024-06-12 18:12:02,1997.0,1.33
2024-06-12 18:12:07,2019.0,1.35
2024-06-12 18:12:12,2136.0,1.42
2024-06-12 18:12:17,2202.0,1.47
2024-06-12 18:12:22,2184.0,1.46
2024-06-12 18:12:27,2180.0,1.45
2024-06-12 18:12:32,2138.0,1.43
2024-06-12 18:12:37,2069.0,1.38
2024-06-12 18:12:42,1960.0,1.31
2024-06-12 18:12:47,2035.0,1.36
2024-06-12 18:12:52,1968.0,1.31
2024-06-12 18:12:57,1950.0,1.30
2024-06-12 18:13:02,1954.0,1.30
2024-06-12 18:13:07,1968.0,1.31
2024-06-12 18:13:12,2027.0,1.35
2024-06-12 18:13:17,2117.0,1.41
2024-06-12 18:13:23,2232.0,1.49
2024-06-12 18:13:28,2314.0,1.54
2024-06-12 18:13:33,2360.0,1.57
2024-06-12 18:13:38,2333.0,1.56
2024-06-12 18:13:43,2276.0,1.52
2024-06-12 18:13:48,2216.0,1.48
2024-06-12 18:13:53,2154.0,1.44
2024-06-12 18:13:58,2115.0,1.41
2024-06-12 18:14:03,2099.0,1.40
2024-06-12 18:14:08,2142.0,1.43
2024-06-12 18:14:13,2336.0,1.56
2024-06-12 18:14:18,2429.0,1.62
2024-06-12 18:14:23,2410.0,1.61
2024-06-12 18:14:28,2398.0,1.60
2024-06-12 18:14:33,2395.0,1.60
2024-06-12 18:14:38,2366.0,1.58
2024-06-12 18:14:43,2301.0,1.53
2024-06-12 18:14:48,2068.0,1.38
2024-06-12 18:14:53,1989.0,1.33
2024-06-12 18:15:10,1955.0,1.30
2024-06-12 18:15:15,1932.0,1.29
2024-06-12 18:15:20,1929.0,1.29
2024-06-12 18:15:25,1986.0,1.32
2024-06-12 18:15:30,2056.0,1.37
2024-06-12 18:15:35,2118.0,1.41
2024-06-12 18:15:40,2161.0,1.44
2024-06-12 18:15:45,2214.0,1.48
2024-06-12 18:15:50,2205.0,1.47
2024-06-12 18:15:55,2234.0,1.49
2024-06-12 18:16:00,2242.0,1.49
2024-06-12 18:16:05,2200.0,1.47
2024-06-12 18:16:10,2177.0,1.45
2024-06-12 18:16:15,2146.0,1.43
2024-06-12 18:16:20,2175.0,1.45
2024-06-12 18:16:25,2376.0,1.58
2024-06-12 18:16:30,2498.0,1.67
2024-06-12 18:16:35,2492.0,1.66
2024-06-12 18:16:40,2439.0,1.63
2024-06-12 18:16:45,2368.0,1.58
2024-06-12 18:16:50,2261.0,1.51
2024-06-12 18:16:55,2137.0,1.42
2024-06-12 18:17:00,2021.0,1.35
2024-06-12 18:17:05,1934.0,1.29
2024-06-12 18:17:10,1893.0,1.26
2024-06-12 18:17:15,1884.0,1.26
2024-06-12 18:17:20,1929.0,1.29
2024-06-12 18:17:25,2065.0,1.38
2024-06-12 18:17:30,2281.0,1.52
2024-06-12 18:17:35,2450.0,1.63
2024-06-12 18:17:40,2499.0,1.67
2024-06-12 18:17:45,2543.0,1.70
2024-06-12 18:17:50,2582.0,1.72
2024-06-12 18:17:55,2586.0,1.72
2024-06-12 18:18:00,2582.0,1.72
2024-06-12 18:18:05,2571.0,1.71
2024-06-12 18:18:10,2515.0,1.68
2024-06-12 18:18:15,2457.0,1.64
2024-06-12 18:18:20,2477.0,1.65
2024-06-12 18:18:25,2641.0,1.76
2024-06-12 18:18:30,2698.0,1.80
2024-06-12 18:18:35,2643.0,1.76
2024-06-12 18:18:40,2574.0,1.72
2024-06-12 18:18:45,2478.0,1.65
2024-06-12 18:18:50,2338.0,1.56
2024-06-12 18:18:55,2181.0,1.45
2024-06-12 18:19:00,2315.0,1.54
2024-06-12 18:19:05,2232.0,1.49
2024-06-12 18:19:10,2175.0,1.45
2024-06-12 18:19:15,2146.0,1.43
2024-06-12 18:19:20,2174.0,1.45
2024-06-12 18:19:25,2274.0,1.52
2024-06-12 18:19:30,2476.0,1.65
2024-06-12 18:19:35,2625.0,1.75
2024-06-12 18:19:41,2591.0,1.73
2024-06-12 18:19:46,2565.0,1.71
2024-06-12 18:19:51,2552.0,1.70
